Item Name, Trade Up Cost (GBP), Expected Value (GBP), Expected Profit (GBP), All Profit Outcomes (GBP)
AK-47 | Bloodsport (Factory New), 1235.1000000000001, 0, -1235.1000000000001, 
AK-47 | Bloodsport (Field-Tested), 773.1, 0, -773.1, 
AK-47 | Bloodsport (Minimal Wear), 927.3000000000001, 0, -927.3000000000001, 
AK-47 | Bloodsport (Well-Worn), 714.2, 0, -714.2, 
AK-47 | Blue Laminate (Factory New), 107.0, 69.45666666666666, -37.54333333333334, AWP | Electric Hive (Factory New):59.42 - Desert Eagle | Cobalt Disruption (Factory New):96.7 - FAMAS | Afterimage (Factory New):52.25 - 
AK-47 | Blue Laminate (Field-Tested), 77.4, 45.27, -32.13, AWP | Electric Hive (Minimal Wear):41.56 - Desert Eagle | Cobalt Disruption (Minimal Wear):61.84 - FAMAS | Afterimage (Minimal Wear):32.41 - 
AK-47 | Blue Laminate (Minimal Wear), 93.5, 69.45666666666666, -24.043333333333337, AWP | Electric Hive (Factory New):59.42 - Desert Eagle | Cobalt Disruption (Factory New):96.7 - FAMAS | Afterimage (Factory New):52.25 - 
AK-47 | Blue Laminate (Well-Worn), 100.7, 33.07333333333333, -67.62666666666667, AWP | Electric Hive (Field-Tested):29.22 - Desert Eagle | Cobalt Disruption (Field-Tested):53.58 - FAMAS | Afterimage (Field-Tested):16.42 - 
AK-47 | Cartel (Battle-Scarred), 55.300000000000004, 5.23, -50.07000000000001, Galil AR | Chatterbox (Battle-Scarred):5.23 - 
AK-47 | Cartel (Factory New), 246.6, 5.23, -241.37, Galil AR | Chatterbox (Battle-Scarred):5.23 - 
AK-47 | Cartel (Field-Tested), 59.400000000000006, 5.23, -54.17, Galil AR | Chatterbox (Battle-Scarred):5.23 - 
AK-47 | Cartel (Minimal Wear), 98.2, 5.23, -92.97, Galil AR | Chatterbox (Battle-Scarred):5.23 - 
AK-47 | Cartel (Well-Worn), 80.1, 5.23, -74.86999999999999, Galil AR | Chatterbox (Battle-Scarred):5.23 - 
AK-47 | Case Hardened (Battle-Scarred), 1559.8, 573.04, -986.76, AWP | Lightning Strike (Minimal Wear):573.04 - 
AK-47 | Case Hardened (Factory New), 4831.8, 590.85, -4240.95, AWP | Lightning Strike (Factory New):590.85 - 
AK-47 | Case Hardened (Field-Tested), 2316.3, 573.04, -1743.2600000000002, AWP | Lightning Strike (Minimal Wear):573.04 - 
AK-47 | Case Hardened (Minimal Wear), 2928.8, 590.85, -2337.9500000000003, AWP | Lightning Strike (Factory New):590.85 - 
AK-47 | Case Hardened (Well-Worn), 1881.3999999999999, 573.04, -1308.36, AWP | Lightning Strike (Minimal Wear):573.04 - 
AK-47 | Elite Build (Battle-Scarred), 7.800000000000001, 0.4925, -7.307500000000001, AWP | Worm God (Well-Worn):1.26 - CZ75-Auto | Pole Position (Battle-Scarred):0.22 - MAG-7 | Heat (Battle-Scarred):0.22 - UMP-45 | Grand Prix (Field-Tested):0.27 - 
AK-47 | Elite Build (Factory New), 45.599999999999994, 0.6900000000000001, -44.91, AWP | Worm God (Factory New):2.05 - CZ75-Auto | Pole Position (Battle-Scarred):0.22 - MAG-7 | Heat (Battle-Scarred):0.22 - UMP-45 | Grand Prix (Field-Tested):0.27 - 
AK-47 | Elite Build (Field-Tested), 10.9, 0.5, -10.4, AWP | Worm God (Minimal Wear):1.29 - CZ75-Auto | Pole Position (Battle-Scarred):0.22 - MAG-7 | Heat (Battle-Scarred):0.22 - UMP-45 | Grand Prix (Field-Tested):0.27 - 
AK-47 | Elite Build (Minimal Wear), 16.0, 0.6900000000000001, -15.31, AWP | Worm God (Factory New):2.05 - CZ75-Auto | Pole Position (Battle-Scarred):0.22 - MAG-7 | Heat (Battle-Scarred):0.22 - UMP-45 | Grand Prix (Field-Tested):0.27 - 
AK-47 | Elite Build (Well-Worn), 8.0, 0.4425, -7.5575, AWP | Worm God (Field-Tested):1.06 - CZ75-Auto | Pole Position (Battle-Scarred):0.22 - MAG-7 | Heat (Battle-Scarred):0.22 - UMP-45 | Grand Prix (Field-Tested):0.27 - 
AK-47 | Emerald Pinstripe (Battle-Scarred), 43.099999999999994, 1.18, -41.919999999999995, P250 | Franklin (Well-Worn):1.18 - 
AK-47 | Emerald Pinstripe (Factory New), 129.60000000000002, 1.79, -127.81000000000002, P250 | Franklin (Factory New):1.79 - 
AK-47 | Emerald Pinstripe (Field-Tested), 54.1, 1.1, -53.0, P250 | Franklin (Minimal Wear):1.1 - 
AK-47 | Emerald Pinstripe (Minimal Wear), 80.19999999999999, 1.79, -78.40999999999998, P250 | Franklin (Factory New):1.79 - 
AK-47 | Emerald Pinstripe (Well-Worn), 44.800000000000004, 0.81, -43.99, P250 | Franklin (Field-Tested):0.81 - 
AK-47 | Fire Serpent (Battle-Scarred), 5977.9, 0, -5977.9, 
AK-47 | Fire Serpent (Factory New), 0, 0, 0, 
AK-47 | Fire Serpent (Field-Tested), 8707.9, 0, -8707.9, 
AK-47 | Fire Serpent (Minimal Wear), 12135.2, 0, -12135.2, 
AK-47 | Fire Serpent (Well-Worn), 5762.1, 0, -5762.1, 
AK-47 | First Class (Battle-Scarred), 469.20000000000005, 205.84, -263.36, AK-47 | Jet Set (Battle-Scarred):205.84 - 
AK-47 | First Class (Factory New), 1225.5, 205.84, -1019.66, AK-47 | Jet Set (Battle-Scarred):205.84 - 
AK-47 | First Class (Field-Tested), 639.5, 205.84, -433.65999999999997, AK-47 | Jet Set (Battle-Scarred):205.84 - 
AK-47 | First Class (Minimal Wear), 809.7, 205.84, -603.86, AK-47 | Jet Set (Battle-Scarred):205.84 - 
AK-47 | First Class (Well-Worn), 490.20000000000005, 205.84, -284.36, AK-47 | Jet Set (Battle-Scarred):205.84 - 
AK-47 | Frontside Misty (Battle-Scarred), 85.19999999999999, 28.85, -56.34999999999999, M4A1-S | Golden Coil (Battle-Scarred):26.02 - USP-S | Kill Confirmed (Battle-Scarred):31.68 - 
AK-47 | Frontside Misty (Factory New), 581.1999999999999, 28.85, -552.3499999999999, M4A1-S | Golden Coil (Battle-Scarred):26.02 - USP-S | Kill Confirmed (Battle-Scarred):31.68 - 
AK-47 | Frontside Misty (Field-Tested), 128.4, 28.85, -99.55000000000001, M4A1-S | Golden Coil (Battle-Scarred):26.02 - USP-S | Kill Confirmed (Battle-Scarred):31.68 - 
AK-47 | Frontside Misty (Minimal Wear), 226.9, 28.85, -198.05, M4A1-S | Golden Coil (Battle-Scarred):26.02 - USP-S | Kill Confirmed (Battle-Scarred):31.68 - 
AK-47 | Frontside Misty (Well-Worn), 110.1, 28.85, -81.25, M4A1-S | Golden Coil (Battle-Scarred):26.02 - USP-S | Kill Confirmed (Battle-Scarred):31.68 - 
AK-47 | Fuel Injector (Battle-Scarred), 786.2, 0, -786.2, 
AK-47 | Fuel Injector (Factory New), 4870.400000000001, 0, -4870.400000000001, 
AK-47 | Fuel Injector (Field-Tested), 1517.2, 0, -1517.2, 
AK-47 | Fuel Injector (Minimal Wear), 2301.5, 0, -2301.5, 
AK-47 | Fuel Injector (Well-Worn), 1025.9, 0, -1025.9, 
AK-47 | Gold Arabesque (Battle-Scarred), 0.3, 0, -0.3, 
AK-47 | Gold Arabesque (Factory New), 13883.5, 0, -13883.5, 
AK-47 | Gold Arabesque (Field-Tested), 11008.5, 0, -11008.5, 
AK-47 | Gold Arabesque (Minimal Wear), 13666.900000000001, 0, -13666.900000000001, 
AK-47 | Gold Arabesque (Well-Worn), 8747.2, 0, -8747.2, 
AK-47 | Green Laminate (Factory New), 152.0, 32.45333333333333, -119.54666666666667, Galil AR | CAUTION! (Battle-Scarred):23.03 - MAG-7 | Prism Terrace (Factory New):45.1 - P250 | Digital Architect (Battle-Scarred):29.23 - 
AK-47 | Green Laminate (Field-Tested), 90.8, 27.283333333333335, -63.516666666666666, Galil AR | CAUTION! (Battle-Scarred):23.03 - MAG-7 | Prism Terrace (Minimal Wear):29.59 - P250 | Digital Architect (Battle-Scarred):29.23 - 
AK-47 | Green Laminate (Minimal Wear), 104.5, 32.45333333333333, -72.04666666666667, Galil AR | CAUTION! (Battle-Scarred):23.03 - MAG-7 | Prism Terrace (Factory New):45.1 - P250 | Digital Architect (Battle-Scarred):29.23 - 
AK-47 | Green Laminate (Well-Worn), 154.5, 25.710000000000004, -128.79, Galil AR | CAUTION! (Battle-Scarred):23.03 - MAG-7 | Prism Terrace (Field-Tested):24.87 - P250 | Digital Architect (Battle-Scarred):29.23 - 
AK-47 | Head Shot (Battle-Scarred), 140.29999999999998, 0, -140.29999999999998, 
AK-47 | Head Shot (Factory New), 1661.8000000000002, 0, -1661.8000000000002, 
AK-47 | Head Shot (Field-Tested), 359.4, 0, -359.4, 
AK-47 | Head Shot (Minimal Wear), 699.5, 0, -699.5, 
AK-47 | Head Shot (Well-Worn), 202.0, 0, -202.0, 
AK-47 | Hydroponic (Battle-Scarred), 258.9, 325.77, 66.87, AUG | Akihabara Accept (Battle-Scarred):325.77 - 
AK-47 | Hydroponic (Factory New), 1665.6, 325.77, -1339.83, AUG | Akihabara Accept (Battle-Scarred):325.77 - 
AK-47 | Hydroponic (Field-Tested), 8317.7, 325.77, -7991.93, AUG | Akihabara Accept (Battle-Scarred):325.77 - 
AK-47 | Hydroponic (Minimal Wear), 1024.2, 325.77, -698.4300000000001, AUG | Akihabara Accept (Battle-Scarred):325.77 - 
AK-47 | Hydroponic (Well-Worn), 6216.1, 325.77, -5890.33, AUG | Akihabara Accept (Battle-Scarred):325.77 - 
AK-47 | Ice Coaled (Battle-Scarred), 53.9, 19.759999999999998, -34.14, AWP | Chromatic Aberration (Battle-Scarred):7.96 - USP-S | Printstream (Battle-Scarred):31.56 - 
AK-47 | Ice Coaled (Factory New), 245.39999999999998, 19.759999999999998, -225.64, AWP | Chromatic Aberration (Battle-Scarred):7.96 - USP-S | Printstream (Battle-Scarred):31.56 - 
AK-47 | Ice Coaled (Field-Tested), 76.10000000000001, 19.759999999999998, -56.34000000000001, AWP | Chromatic Aberration (Battle-Scarred):7.96 - USP-S | Printstream (Battle-Scarred):31.56 - 
AK-47 | Ice Coaled (Minimal Wear), 135.29999999999998, 19.759999999999998, -115.53999999999999, AWP | Chromatic Aberration (Battle-Scarred):7.96 - USP-S | Printstream (Battle-Scarred):31.56 - 
AK-47 | Ice Coaled (Well-Worn), 78.8, 19.759999999999998, -59.04, AWP | Chromatic Aberration (Battle-Scarred):7.96 - USP-S | Printstream (Battle-Scarred):31.56 - 
AK-47 | Jaguar (Battle-Scarred), 228.1, 0, -228.1, 
AK-47 | Jaguar (Factory New), 1417.1000000000001, 0, -1417.1000000000001, 
AK-47 | Jaguar (Field-Tested), 261.4, 0, -261.4, 
AK-47 | Jaguar (Minimal Wear), 427.59999999999997, 0, -427.59999999999997, 
AK-47 | Jaguar (Well-Worn), 236.8, 0, -236.8, 
AK-47 | Jet Set (Battle-Scarred), 2058.4, 0, -2058.4, 
AK-47 | Jet Set (Factory New), 7838.400000000001, 0, -7838.400000000001, 
AK-47 | Jet Set (Field-Tested), 2454.1, 0, -2454.1, 
AK-47 | Jet Set (Minimal Wear), 3202.7, 0, -3202.7, 
AK-47 | Jet Set (Well-Worn), 2005.6, 0, -2005.6, 
AK-47 | Jungle Spray (Battle-Scarred), 49.5, 4.26, -45.24, Tec-9 | Ossified (Minimal Wear):4.26 - 
AK-47 | Jungle Spray (Factory New), 931.4, 1.42, -929.98, Tec-9 | Ossified (Factory New):1.42 - 
AK-47 | Jungle Spray (Field-Tested), 66.9, 4.26, -62.64000000000001, Tec-9 | Ossified (Minimal Wear):4.26 - 
AK-47 | Jungle Spray (Minimal Wear), 133.0, 1.42, -131.58, Tec-9 | Ossified (Factory New):1.42 - 
AK-47 | Jungle Spray (Well-Worn), 57.5, 4.26, -53.24, Tec-9 | Ossified (Minimal Wear):4.26 - 
AK-47 | Leet Museo (Battle-Scarred), 153.8, 0, -153.8, 
AK-47 | Leet Museo (Factory New), 591.0, 0, -591.0, 
AK-47 | Leet Museo (Field-Tested), 168.5, 0, -168.5, 
AK-47 | Leet Museo (Minimal Wear), 283.7, 0, -283.7, 
AK-47 | Leet Museo (Well-Worn), 169.60000000000002, 0, -169.60000000000002, 
AK-47 | Legion of Anubis (Battle-Scarred), 55.5, 0, -55.5, 
AK-47 | Legion of Anubis (Factory New), 244.3, 0, -244.3, 
AK-47 | Legion of Anubis (Field-Tested), 82.69999999999999, 0, -82.69999999999999, 
AK-47 | Legion of Anubis (Minimal Wear), 121.7, 0, -121.7, 
AK-47 | Neon Revolution (Battle-Scarred), 115.60000000000001, 0, -115.60000000000001, 
AK-47 | Neon Revolution (Factory New), 642.9000000000001, 0, -642.9000000000001, 
AK-47 | Neon Revolution (Field-Tested), 150.5, 0, -150.5, 
AK-47 | Neon Revolution (Minimal Wear), 244.4, 0, -244.4, 
AK-47 | Neon Revolution (Well-Worn), 190.3, 0, -190.3, 
AK-47 | Neon Rider (Battle-Scarred), 193.79999999999998, 0, -193.79999999999998, 
AK-47 | Neon Rider (Factory New), 1248.4, 0, -1248.4, 
AK-47 | Neon Rider (Field-Tested), 323.6, 0, -323.6, 
AK-47 | Neon Rider (Minimal Wear), 585.1, 0, -585.1, 
AK-47 | Neon Rider (Well-Worn), 310.59999999999997, 0, -310.59999999999997, 
AK-47 | Nightwish (Battle-Scarred), 68.1, 0, -68.1, 
AK-47 | Nightwish (Factory New), 1271.2, 0, -1271.2, 
AK-47 | Nightwish (Field-Tested), 159.9, 0, -159.9, 
AK-47 | Nightwish (Minimal Wear), 368.9, 0, -368.9, 
AK-47 | Nightwish (Well-Worn), 117.4, 0, -117.4, 
AK-47 | Orbit Mk01 (Battle-Scarred), 97.8, 30.616666666666664, -67.18333333333334, Dual Berettas | Cobra Strike (Battle-Scarred):26.34 - Galil AR | Sugar Rush (Battle-Scarred):28.82 - M4A4 | Hellfire (Battle-Scarred):36.69 - 
AK-47 | Orbit Mk01 (Factory New), 187.0, 30.616666666666664, -156.38333333333333, Dual Berettas | Cobra Strike (Battle-Scarred):26.34 - Galil AR | Sugar Rush (Battle-Scarred):28.82 - M4A4 | Hellfire (Battle-Scarred):36.69 - 
AK-47 | Orbit Mk01 (Field-Tested), 88.80000000000001, 30.616666666666664, -58.18333333333335, Dual Berettas | Cobra Strike (Battle-Scarred):26.34 - Galil AR | Sugar Rush (Battle-Scarred):28.82 - M4A4 | Hellfire (Battle-Scarred):36.69 - 
AK-47 | Orbit Mk01 (Minimal Wear), 117.10000000000001, 30.616666666666664, -86.48333333333335, Dual Berettas | Cobra Strike (Battle-Scarred):26.34 - Galil AR | Sugar Rush (Battle-Scarred):28.82 - M4A4 | Hellfire (Battle-Scarred):36.69 - 
AK-47 | Orbit Mk01 (Well-Worn), 104.9, 30.616666666666664, -74.28333333333335, Dual Berettas | Cobra Strike (Battle-Scarred):26.34 - Galil AR | Sugar Rush (Battle-Scarred):28.82 - M4A4 | Hellfire (Battle-Scarred):36.69 - 
AK-47 | Panthera onca (Battle-Scarred), 1287.6, 614.36, -673.2399999999999, M4A1-S | Welcome to the Jungle (Battle-Scarred):614.36 - 
AK-47 | Panthera onca (Factory New), 3667.7999999999997, 614.36, -3053.4399999999996, M4A1-S | Welcome to the Jungle (Battle-Scarred):614.36 - 
AK-47 | Panthera onca (Field-Tested), 1756.6999999999998, 614.36, -1142.3399999999997, M4A1-S | Welcome to the Jungle (Battle-Scarred):614.36 - 
AK-47 | Panthera onca (Minimal Wear), 2585.6, 614.36, -1971.2399999999998, M4A1-S | Welcome to the Jungle (Battle-Scarred):614.36 - 
AK-47 | Panthera onca (Well-Worn), 1247.8, 614.36, -633.4399999999999, M4A1-S | Welcome to the Jungle (Battle-Scarred):614.36 - 
AK-47 | Phantom Disruptor (Battle-Scarred), 37.2, 7.02, -30.180000000000003, Glock-18 | Bullet Queen (Battle-Scarred):3.96 - M4A1-S | Player Two (Battle-Scarred):10.08 - 
AK-47 | Phantom Disruptor (Factory New), 95.0, 7.02, -87.98, Glock-18 | Bullet Queen (Battle-Scarred):3.96 - M4A1-S | Player Two (Battle-Scarred):10.08 - 
AK-47 | Phantom Disruptor (Field-Tested), 42.599999999999994, 7.02, -35.58, Glock-18 | Bullet Queen (Battle-Scarred):3.96 - M4A1-S | Player Two (Battle-Scarred):10.08 - 
AK-47 | Phantom Disruptor (Minimal Wear), 63.9, 7.02, -56.879999999999995, Glock-18 | Bullet Queen (Battle-Scarred):3.96 - M4A1-S | Player Two (Battle-Scarred):10.08 - 
AK-47 | Phantom Disruptor (Well-Worn), 50.8, 7.02, -43.78, Glock-18 | Bullet Queen (Battle-Scarred):3.96 - M4A1-S | Player Two (Battle-Scarred):10.08 - 
AK-47 | Point Disarray (Battle-Scarred), 64.2, 5.585, -58.615, M4A4 | Royal Paladin (Battle-Scarred):4.81 - R8 Revolver | Fade (Well-Worn):6.36 - 
AK-47 | Point Disarray (Factory New), 241.6, 15.205, -226.39499999999998, M4A4 | Royal Paladin (Battle-Scarred):4.81 - R8 Revolver | Fade (Factory New):25.6 - 
AK-47 | Point Disarray (Field-Tested), 87.89999999999999, 6.885, -81.01499999999999, M4A4 | Royal Paladin (Battle-Scarred):4.81 - R8 Revolver | Fade (Minimal Wear):8.96 - 
AK-47 | Point Disarray (Minimal Wear), 145.7, 15.205, -130.49499999999998, M4A4 | Royal Paladin (Battle-Scarred):4.81 - R8 Revolver | Fade (Factory New):25.6 - 
AK-47 | Point Disarray (Well-Worn), 100.19999999999999, 4.654999999999999, -95.54499999999999, M4A4 | Royal Paladin (Battle-Scarred):4.81 - R8 Revolver | Fade (Field-Tested):4.5 - 
AK-47 | Predator (Battle-Scarred), 124.1, 48.396666666666675, -75.70333333333332, AUG | Copperhead (Field-Tested):69.56 - AWP | Snake Camo (Battle-Scarred):73.79 - Sawed-Off | Copper (Battle-Scarred):1.84 - 
AK-47 | Predator (Factory New), 695.4000000000001, 48.396666666666675, -647.0033333333334, AUG | Copperhead (Field-Tested):69.56 - AWP | Snake Camo (Battle-Scarred):73.79 - Sawed-Off | Copper (Battle-Scarred):1.84 - 
AK-47 | Predator (Field-Tested), 154.0, 48.396666666666675, -105.60333333333332, AUG | Copperhead (Field-Tested):69.56 - AWP | Snake Camo (Battle-Scarred):73.79 - Sawed-Off | Copper (Battle-Scarred):1.84 - 
AK-47 | Predator (Minimal Wear), 164.4, 48.396666666666675, -116.00333333333333, AUG | Copperhead (Field-Tested):69.56 - AWP | Snake Camo (Battle-Scarred):73.79 - Sawed-Off | Copper (Battle-Scarred):1.84 - 
AK-47 | Predator (Well-Worn), 134.3, 48.396666666666675, -85.90333333333334, AUG | Copperhead (Field-Tested):69.56 - AWP | Snake Camo (Battle-Scarred):73.79 - Sawed-Off | Copper (Battle-Scarred):1.84 - 
AK-47 | Rat Rod (Battle-Scarred), 26.099999999999998, 6.203333333333333, -19.896666666666665, SG 553 | Colony IV (Battle-Scarred):5.55 - SSG 08 | Bloodshot (Battle-Scarred):6.08 - Tec-9 | Decimator (Battle-Scarred):6.98 - 
AK-47 | Rat Rod (Factory New), 77.8, 6.203333333333333, -71.59666666666666, SG 553 | Colony IV (Battle-Scarred):5.55 - SSG 08 | Bloodshot (Battle-Scarred):6.08 - Tec-9 | Decimator (Battle-Scarred):6.98 - 
AK-47 | Rat Rod (Field-Tested), 28.2, 6.203333333333333, -21.996666666666666, SG 553 | Colony IV (Battle-Scarred):5.55 - SSG 08 | Bloodshot (Battle-Scarred):6.08 - Tec-9 | Decimator (Battle-Scarred):6.98 - 
AK-47 | Rat Rod (Minimal Wear), 39.300000000000004, 6.203333333333333, -33.09666666666667, SG 553 | Colony IV (Battle-Scarred):5.55 - SSG 08 | Bloodshot (Battle-Scarred):6.08 - Tec-9 | Decimator (Battle-Scarred):6.98 - 
AK-47 | Rat Rod (Well-Worn), 27.200000000000003, 6.203333333333333, -20.99666666666667, SG 553 | Colony IV (Battle-Scarred):5.55 - SSG 08 | Bloodshot (Battle-Scarred):6.08 - Tec-9 | Decimator (Battle-Scarred):6.98 - 
AK-47 | Red Laminate (Battle-Scarred), 291.70000000000005, 27.3, -264.40000000000003, P90 | Death by Kitty (Field-Tested):27.3 - 
AK-47 | Red Laminate (Factory New), 3189.5, 27.3, -3162.2, P90 | Death by Kitty (Field-Tested):27.3 - 
AK-47 | Red Laminate (Field-Tested), 329.90000000000003, 27.3, -302.6, P90 | Death by Kitty (Field-Tested):27.3 - 
AK-47 | Red Laminate (Minimal Wear), 576.1, 27.3, -548.8000000000001, P90 | Death by Kitty (Field-Tested):27.3 - 
AK-47 | Red Laminate (Well-Worn), 315.79999999999995, 27.3, -288.49999999999994, P90 | Death by Kitty (Field-Tested):27.3 - 
AK-47 | Redline (Battle-Scarred), 109.80000000000001, 40.705000000000005, -69.095, AUG | Chameleon (Battle-Scarred):2.54 - AWP | Asiimov (Battle-Scarred):78.87 - 
AK-47 | Redline (Field-Tested), 176.0, 40.705000000000005, -135.295, AUG | Chameleon (Battle-Scarred):2.54 - AWP | Asiimov (Battle-Scarred):78.87 - 
AK-47 | Redline (Minimal Wear), 781.5, 40.705000000000005, -740.795, AUG | Chameleon (Battle-Scarred):2.54 - AWP | Asiimov (Battle-Scarred):78.87 - 
AK-47 | Redline (Well-Worn), 128.8, 40.705000000000005, -88.095, AUG | Chameleon (Battle-Scarred):2.54 - AWP | Asiimov (Battle-Scarred):78.87 - 
AK-47 | Safari Mesh (Battle-Scarred), 1.3, 0.7000000000000001, -0.6, M4A1-S | VariCamo (Battle-Scarred):0.87 - PP-Bizon | Brass (Battle-Scarred):0.61 - SG 553 | Damascus Steel (Battle-Scarred):0.62 - 
AK-47 | Safari Mesh (Factory New), 37.599999999999994, 0.7000000000000001, -36.89999999999999, M4A1-S | VariCamo (Battle-Scarred):0.87 - PP-Bizon | Brass (Battle-Scarred):0.61 - SG 553 | Damascus Steel (Battle-Scarred):0.62 - 
AK-47 | Safari Mesh (Field-Tested), 1.3, 0.7000000000000001, -0.6, M4A1-S | VariCamo (Battle-Scarred):0.87 - PP-Bizon | Brass (Battle-Scarred):0.61 - SG 553 | Damascus Steel (Battle-Scarred):0.62 - 
AK-47 | Safari Mesh (Minimal Wear), 4.3, 0.7000000000000001, -3.5999999999999996, M4A1-S | VariCamo (Battle-Scarred):0.87 - PP-Bizon | Brass (Battle-Scarred):0.61 - SG 553 | Damascus Steel (Battle-Scarred):0.62 - 
AK-47 | Safari Mesh (Well-Worn), 1.6, 0.7000000000000001, -0.9, M4A1-S | VariCamo (Battle-Scarred):0.87 - PP-Bizon | Brass (Battle-Scarred):0.61 - SG 553 | Damascus Steel (Battle-Scarred):0.62 - 
AK-47 | Safety Net (Battle-Scarred), 35.2, 4.475, -30.725, Dual Berettas | Twin Turbo (Battle-Scarred):1.86 - SG 553 | Integrale (Battle-Scarred):7.09 - 
AK-47 | Safety Net (Factory New), 106.6, 4.475, -102.125, Dual Berettas | Twin Turbo (Battle-Scarred):1.86 - SG 553 | Integrale (Battle-Scarred):7.09 - 
AK-47 | Safety Net (Field-Tested), 36.6, 4.475, -32.125, Dual Berettas | Twin Turbo (Battle-Scarred):1.86 - SG 553 | Integrale (Battle-Scarred):7.09 - 
AK-47 | Safety Net (Minimal Wear), 57.599999999999994, 4.475, -53.12499999999999, Dual Berettas | Twin Turbo (Battle-Scarred):1.86 - SG 553 | Integrale (Battle-Scarred):7.09 - 
AK-47 | Safety Net (Well-Worn), 48.099999999999994, 4.475, -43.62499999999999, Dual Berettas | Twin Turbo (Battle-Scarred):1.86 - SG 553 | Integrale (Battle-Scarred):7.09 - 
AK-47 | Slate (Battle-Scarred), 20.299999999999997, 1.1566666666666665, -19.14333333333333, Galil AR | Chromatic Aberration (Battle-Scarred):1.15 - MP9 | Food Chain (Battle-Scarred):1.18 - XM1014 | XOXO (Battle-Scarred):1.14 - 
AK-47 | Slate (Factory New), 91.1, 1.1566666666666665, -89.94333333333333, Galil AR | Chromatic Aberration (Battle-Scarred):1.15 - MP9 | Food Chain (Battle-Scarred):1.18 - XM1014 | XOXO (Battle-Scarred):1.14 - 
AK-47 | Slate (Field-Tested), 21.099999999999998, 1.1566666666666665, -19.94333333333333, Galil AR | Chromatic Aberration (Battle-Scarred):1.15 - MP9 | Food Chain (Battle-Scarred):1.18 - XM1014 | XOXO (Battle-Scarred):1.14 - 
AK-47 | Slate (Minimal Wear), 37.2, 1.1566666666666665, -36.04333333333334, Galil AR | Chromatic Aberration (Battle-Scarred):1.15 - MP9 | Food Chain (Battle-Scarred):1.18 - XM1014 | XOXO (Battle-Scarred):1.14 - 
AK-47 | Steel Delta (Battle-Scarred), 17.8, 7.86, -9.940000000000001, P90 | ScaraB Rush (Battle-Scarred):7.86 - 
